Date,Metric,App,Category,Platform,Value
8/25/14,Revenue,Crappy Birds,Games,iOS,540
8/25/14,Revenue,Crappy Birds,Games,Android,540
7/10/14,Revenue,Crappy Birds,Games,iOS,550
7/15/14,Revenue,Crappy Birds,Games,iOS,550
7/20/14,Revenue,Crappy Birds,Games,Android,550
7/31/14,Revenue,Crappy Birds,Games,Android,550
8/26/14,Revenue,Crappy Birds,Games,Android,550
7/14/14,Revenue,Crappy Birds,Games,iOS,560
7/15/14,Revenue,Crappy Birds,Games,Android,560
7/19/14,Revenue,Crappy Birds,Games,iOS,560
7/19/14,Revenue,Crappy Birds,Games,Android,560
7/26/14,Revenue,Crappy Birds,Games,iOS,560
7/28/14,Revenue,Crappy Birds,Games,iOS,560
7/28/14,Revenue,Crappy Birds,Games,Android,560
7/31/14,Revenue,Crappy Birds,Games,iOS,560
8/6/14,Revenue,Crappy Birds,Games,iOS,560
7/16/14,Revenue,Crappy Birds,Games,iOS,570
7/17/14,Revenue,Crappy Birds,Games,Android,570
7/20/14,Revenue,Crappy Birds,Games,iOS,570
7/27/14,Revenue,Crappy Birds,Games,Android,570
7/30/14,Revenue,Crappy Birds,Games,Android,570
8/22/14,Revenue,Crappy Birds,Games,Android,570
8/24/14,Revenue,Crappy Birds,Games,iOS,570
7/17/14,Revenue,Crappy Birds,Games,iOS,580
7/27/14,Revenue,Crappy Birds,Games,iOS,580
7/30/14,Revenue,Crappy Birds,Games,iOS,580
8/5/14,Revenue,Crappy Birds,Games,iOS,580
8/5/14,Revenue,Crappy Birds,Games,Android,580
8/23/14,Revenue,Crappy Birds,Games,Android,580
7/9/14,Revenue,Crappy Birds,Games,iOS,590
7/14/14,Revenue,Crappy Birds,Games,Android,590
7/16/14,Revenue,Crappy Birds,Games,Android,590
7/29/14,Revenue,Crappy Birds,Games,iOS,590
7/29/14,Revenue,Crappy Birds,Games,Android,590
8/3/14,Revenue,Crappy Birds,Games,iOS,590
8/4/14,Revenue,Crappy Birds,Games,iOS,590
8/6/14,Revenue,Crappy Birds,Games,Android,590
8/11/14,Revenue,Crappy Birds,Games,iOS,590
8/20/14,Revenue,Crappy Birds,Games,Android,590
8/22/14,Revenue,Crappy Birds,Games,iOS,590
8/23/14,Revenue,Crappy Birds,Games,iOS,590
8/24/14,Revenue,Crappy Birds,Games,Android,590
7/9/14,Revenue,Crappy Birds,Games,Android,600
8/1/14,Revenue,Crappy Birds,Games,iOS,600
8/2/14,Revenue,Crappy Birds,Games,Android,600
8/4/14,Revenue,Crappy Birds,Games,Android,600
8/8/14,Revenue,Crappy Birds,Games,iOS,600
8/14/14,Revenue,Crappy Birds,Games,iOS,600
8/14/14,Revenue,Crappy Birds,Games,Android,600
8/21/14,Revenue,Crappy Birds,Games,Android,600
8/7/14,Revenue,Crappy Birds,Games,iOS,610
8/8/14,Revenue,Crappy Birds,Games,Android,610
8/10/14,Revenue,Crappy Birds,Games,Android,610
8/11/14,Revenue,Crappy Birds,Games,Android,610
8/12/14,Revenue,Crappy Birds,Games,Android,610
8/20/14,Revenue,Crappy Birds,Games,iOS,610
7/8/14,Revenue,Crappy Birds,Games,Android,620
8/3/14,Revenue,Crappy Birds,Games,Android,620
8/7/14,Revenue,Crappy Birds,Games,Android,620
8/9/14,Revenue,Crappy Birds,Games,Android,620
8/10/14,Revenue,Crappy Birds,Games,iOS,620
8/12/14,Revenue,Crappy Birds,Games,iOS,620
8/19/14,Revenue,Crappy Birds,Games,iOS,620
7/8/14,Revenue,Crappy Birds,Games,iOS,630
8/2/14,Revenue,Crappy Birds,Games,iOS,630
8/15/14,Revenue,Crappy Birds,Games,Android,630
8/19/14,Revenue,Crappy Birds,Games,Android,630
8/21/14,Revenue,Crappy Birds,Games,iOS,630
7/7/14,Revenue,Crappy Birds,Games,iOS,640
8/1/14,Revenue,Crappy Birds,Games,Android,640
8/13/14,Revenue,Crappy Birds,Games,iOS,640
8/13/14,Revenue,Crappy Birds,Games,Android,640
8/15/14,Revenue,Crappy Birds,Games,iOS,640
8/9/14,Revenue,Crappy Birds,Games,iOS,650
8/18/14,Revenue,Crappy Birds,Games,Android,650
7/7/14,Revenue,Crappy Birds,Games,Android,660
8/18/14,Revenue,Crappy Birds,Games,iOS,660
7/3/14,Revenue,Crappy Birds,Games,iOS,670
7/3/14,Revenue,Crappy Birds,Games,Android,670
7/4/14,Revenue,Crappy Birds,Games,iOS,670
7/4/14,Revenue,Crappy Birds,Games,Android,670
7/5/14,Revenue,Crappy Birds,Games,Android,670
8/16/14,Revenue,Crappy Birds,Games,iOS,670
7/6/14,Revenue,Crappy Birds,Games,iOS,680
6/30/14,Revenue,Crappy Birds,Games,Android,690
7/2/14,Revenue,Crappy Birds,Games,iOS,690
7/5/14,Revenue,Crappy Birds,Games,iOS,690
8/16/14,Revenue,Crappy Birds,Games,Android,690
8/17/14,Revenue,Crappy Birds,Games,Android,690
8/17/14,Revenue,Crappy Birds,Games,iOS,700
7/6/14,Revenue,Crappy Birds,Games,Android,710
6/30/14,Revenue,Crappy Birds,Games,iOS,720
7/1/14,Revenue,Crappy Birds,Games,iOS,720
7/2/14,Revenue,Crappy Birds,Games,Android,730
6/28/14,Revenue,Crappy Birds,Games,Android,740
6/29/14,Revenue,Crappy Birds,Games,Android,750
6/25/14,Revenue,Crappy Birds,Games,Android,760
6/27/14,Revenue,Crappy Birds,Games,iOS,760
6/29/14,Revenue,Crappy Birds,Games,iOS,760
7/1/14,Revenue,Crappy Birds,Games,Android,760
6/27/14,Revenue,Crappy Birds,Games,Android,770
6/28/14,Revenue,Crappy Birds,Games,iOS,770
6/26/14,Revenue,Crappy Birds,Games,iOS,790
6/25/14,Revenue,Crappy Birds,Games,iOS,800
6/24/14,Revenue,Crappy Birds,Games,iOS,810
6/26/14,Revenue,Crappy Birds,Games,Android,820
6/23/14,Revenue,Crappy Birds,Games,Android,840
6/23/14,Revenue,Crappy Birds,Games,iOS,860
6/24/14,Revenue,Crappy Birds,Games,Android,860
6/22/14,Revenue,Crappy Birds,Games,Android,880
6/20/14,Revenue,Crappy Birds,Games,Android,890
6/21/14,Revenue,Crappy Birds,Games,Android,890
6/19/14,Revenue,Crappy Birds,Games,Android,910
6/22/14,Revenue,Crappy Birds,Games,iOS,910
6/5/14,Revenue,Crappy Birds,Games,Android,920
6/16/14,Revenue,Crappy Birds,Games,iOS,920
6/21/14,Revenue,Crappy Birds,Games,iOS,920
6/17/14,Revenue,Crappy Birds,Games,Android,930
6/18/14,Revenue,Crappy Birds,Games,Android,930
6/20/14,Revenue,Crappy Birds,Games,iOS,930
6/3/14,Revenue,Crappy Birds,Games,Android,940
6/4/14,Revenue,Crappy Birds,Games,Android,940
6/5/14,Revenue,Crappy Birds,Games,iOS,940
6/14/14,Revenue,Crappy Birds,Games,iOS,940
6/14/14,Revenue,Crappy Birds,Games,Android,940
6/15/14,Revenue,Crappy Birds,Games,Android,940
6/17/14,Revenue,Crappy Birds,Games,iOS,940
6/13/14,Revenue,Crappy Birds,Games,Android,950
6/15/14,Revenue,Crappy Birds,Games,iOS,950
6/18/14,Revenue,Crappy Birds,Games,iOS,950
6/19/14,Revenue,Crappy Birds,Games,iOS,950
6/3/14,Revenue,Crappy Birds,Games,iOS,960
6/4/14,Revenue,Crappy Birds,Games,iOS,960
6/6/14,Revenue,Crappy Birds,Games,iOS,960
6/6/14,Revenue,Crappy Birds,Games,Android,960
6/16/14,Revenue,Crappy Birds,Games,Android,960
4/12/14,Revenue,Crappy Birds,Games,Android,970
4/13/14,Revenue,Crappy Birds,Games,Android,970
4/15/14,Revenue,Crappy Birds,Games,Android,970
4/13/14,Revenue,Crappy Birds,Games,iOS,980
4/14/14,Revenue,Crappy Birds,Games,iOS,980
4/30/14,Revenue,Crappy Birds,Games,Android,980
6/10/14,Revenue,Crappy Birds,Games,iOS,980
6/13/14,Revenue,Crappy Birds,Games,iOS,980
3/30/14,Revenue,Crappy Birds,Games,Android,990
4/2/14,Revenue,Crappy Birds,Games,iOS,990
5/6/14,Revenue,Crappy Birds,Games,Android,990
6/2/14,Revenue,Crappy Birds,Games,iOS,990
6/7/14,Revenue,Crappy Birds,Games,iOS,990
6/7/14,Revenue,Crappy Birds,Games,Android,990
6/9/14,Revenue,Crappy Birds,Games,iOS,990
3/30/14,Revenue,Crappy Birds,Games,iOS,1000
4/3/14,Revenue,Crappy Birds,Games,Android,1000
4/11/14,Revenue,Crappy Birds,Games,Android,1000
4/15/14,Revenue,Crappy Birds,Games,iOS,1000
5/5/14,Revenue,Crappy Birds,Games,Android,1000
5/18/14,Revenue,Crappy Birds,Games,Android,1000
5/29/14,Revenue,Crappy Birds,Games,iOS,1000
6/8/14,Revenue,Crappy Birds,Games,iOS,1000
6/11/14,Revenue,Crappy Birds,Games,iOS,1000
6/11/14,Revenue,Crappy Birds,Games,Android,1000
3/31/14,Revenue,Crappy Birds,Games,Android,1010
4/18/14,Revenue,Crappy Birds,Games,iOS,1010
5/4/14,Revenue,Crappy Birds,Games,Android,1010
5/25/14,Revenue,Crappy Birds,Games,Android,1010
5/26/14,Revenue,Crappy Birds,Games,Android,1010
5/27/14,Revenue,Crappy Birds,Games,Android,1010
5/28/14,Revenue,Crappy Birds,Games,Android,1010
5/30/14,Revenue,Crappy Birds,Games,iOS,1010
6/9/14,Revenue,Crappy Birds,Games,Android,1010
6/10/14,Revenue,Crappy Birds,Games,Android,1010
6/12/14,Revenue,Crappy Birds,Games,iOS,1010
3/31/14,Revenue,Crappy Birds,Games,iOS,1020
4/1/14,Revenue,Crappy Birds,Games,iOS,1020
4/12/14,Revenue,Crappy Birds,Games,iOS,1020
4/16/14,Revenue,Crappy Birds,Games,iOS,1020
5/17/14,Revenue,Crappy Birds,Games,Android,1020
5/21/14,Revenue,Crappy Birds,Games,Android,1020
5/31/14,Revenue,Crappy Birds,Games,iOS,1020
3/27/14,Revenue,Crappy Birds,Games,Android,1030
3/29/14,Revenue,Crappy Birds,Games,iOS,1030
3/29/14,Revenue,Crappy Birds,Games,Android,1030
4/1/14,Revenue,Crappy Birds,Games,Android,1030
4/2/14,Revenue,Crappy Birds,Games,Android,1030
4/3/14,Revenue,Crappy Birds,Games,iOS,1030
4/10/14,Revenue,Crappy Birds,Games,iOS,1030
4/10/14,Revenue,Crappy Birds,Games,Android,1030
4/11/14,Revenue,Crappy Birds,Games,iOS,1030
4/14/14,Revenue,Crappy Birds,Games,Android,1030
4/17/14,Revenue,Crappy Birds,Games,iOS,1030
4/17/14,Revenue,Crappy Birds,Games,Android,1030
4/18/14,Revenue,Crappy Birds,Games,Android,1030
4/19/14,Revenue,Crappy Birds,Games,Android,1030
4/30/14,Revenue,Crappy Birds,Games,iOS,1030
5/3/14,Revenue,Crappy Birds,Games,Android,1030
5/20/14,Revenue,Crappy Birds,Games,Android,1030
5/27/14,Revenue,Crappy Birds,Games,iOS,1030
5/29/14,Revenue,Crappy Birds,Games,Android,1030
5/30/14,Revenue,Crappy Birds,Games,Android,1030
6/2/14,Revenue,Crappy Birds,Games,Android,1030
4/29/14,Revenue,Crappy Birds,Games,iOS,1040
5/17/14,Revenue,Crappy Birds,Games,iOS,1040
5/18/14,Revenue,Crappy Birds,Games,iOS,1040
6/1/14,Revenue,Crappy Birds,Games,iOS,1040
6/8/14,Revenue,Crappy Birds,Games,Android,1040
6/12/14,Revenue,Crappy Birds,Games,Android,1040
3/23/14,Revenue,Crappy Birds,Games,Android,1050
4/19/14,Revenue,Crappy Birds,Games,iOS,1050
4/28/14,Revenue,Crappy Birds,Games,Android,1050
5/2/14,Revenue,Crappy Birds,Games,iOS,1050
5/4/14,Revenue,Crappy Birds,Games,iOS,1050
5/6/14,Revenue,Crappy Birds,Games,iOS,1050
5/7/14,Revenue,Crappy Birds,Games,iOS,1050
5/9/14,Revenue,Crappy Birds,Games,Android,1050
5/14/14,Revenue,Crappy Birds,Games,iOS,1050
5/19/14,Revenue,Crappy Birds,Games,Android,1050
5/26/14,Revenue,Crappy Birds,Games,iOS,1050
5/28/14,Revenue,Crappy Birds,Games,iOS,1050
5/31/14,Revenue,Crappy Birds,Games,Android,1050
4/4/14,Revenue,Crappy Birds,Games,iOS,1060
4/4/14,Revenue,Crappy Birds,Games,Android,1060
4/22/14,Revenue,Crappy Birds,Games,iOS,1060
4/23/14,Revenue,Crappy Birds,Games,Android,1060
4/24/14,Revenue,Crappy Birds,Games,Android,1060
4/29/14,Revenue,Crappy Birds,Games,Android,1060
5/1/14,Revenue,Crappy Birds,Games,iOS,1060
5/3/14,Revenue,Crappy Birds,Games,iOS,1060
5/5/14,Revenue,Crappy Birds,Games,iOS,1060
5/21/14,Revenue,Crappy Birds,Games,iOS,1060
3/25/14,Revenue,Crappy Birds,Games,Android,1070
3/28/14,Revenue,Crappy Birds,Games,iOS,1070
3/28/14,Revenue,Crappy Birds,Games,Android,1070
4/9/14,Revenue,Crappy Birds,Games,iOS,1070
4/16/14,Revenue,Crappy Birds,Games,Android,1070
4/20/14,Revenue,Crappy Birds,Games,iOS,1070
5/10/14,Revenue,Crappy Birds,Games,iOS,1070
5/11/14,Revenue,Crappy Birds,Games,iOS,1070
5/13/14,Revenue,Crappy Birds,Games,iOS,1070
5/16/14,Revenue,Crappy Birds,Games,iOS,1070
5/19/14,Revenue,Crappy Birds,Games,iOS,1070
5/24/14,Revenue,Crappy Birds,Games,Android,1070
5/25/14,Revenue,Crappy Birds,Games,iOS,1070
3/26/14,Revenue,Crappy Birds,Games,iOS,1080
3/27/14,Revenue,Crappy Birds,Games,iOS,1080
4/22/14,Revenue,Crappy Birds,Games,Android,1080
4/23/14,Revenue,Crappy Birds,Games,iOS,1080
4/28/14,Revenue,Crappy Birds,Games,iOS,1080
5/2/14,Revenue,Crappy Birds,Games,Android,1080
5/11/14,Revenue,Crappy Birds,Games,Android,1080
5/12/14,Revenue,Crappy Birds,Games,iOS,1080
5/12/14,Revenue,Crappy Birds,Games,Android,1080
5/13/14,Revenue,Crappy Birds,Games,Android,1080
5/15/14,Revenue,Crappy Birds,Games,iOS,1080
5/20/14,Revenue,Crappy Birds,Games,iOS,1080
5/24/14,Revenue,Crappy Birds,Games,iOS,1080
3/18/14,Revenue,Crappy Birds,Games,Android,1090
3/24/14,Revenue,Crappy Birds,Games,iOS,1090
3/24/14,Revenue,Crappy Birds,Games,Android,1090
3/25/14,Revenue,Crappy Birds,Games,iOS,1090
4/21/14,Revenue,Crappy Birds,Games,iOS,1090
5/1/14,Revenue,Crappy Birds,Games,Android,1090
5/9/14,Revenue,Crappy Birds,Games,iOS,1090
5/15/14,Revenue,Crappy Birds,Games,Android,1090
3/26/14,Revenue,Crappy Birds,Games,Android,1100
5/7/14,Revenue,Crappy Birds,Games,Android,1100
5/8/14,Revenue,Crappy Birds,Games,iOS,1100
5/14/14,Revenue,Crappy Birds,Games,Android,1100
5/22/14,Revenue,Crappy Birds,Games,iOS,1100
5/23/14,Revenue,Crappy Birds,Games,iOS,1100
5/23/14,Revenue,Crappy Birds,Games,Android,1100
6/1/14,Revenue,Crappy Birds,Games,Android,1100
3/23/14,Revenue,Crappy Birds,Games,iOS,1110
4/5/14,Revenue,Crappy Birds,Games,iOS,1110
4/5/14,Revenue,Crappy Birds,Games,Android,1110
4/8/14,Revenue,Crappy Birds,Games,iOS,1110
5/10/14,Revenue,Crappy Birds,Games,Android,1110
3/7/14,Revenue,Crappy Birds,Games,Android,1120
3/18/14,Revenue,Crappy Birds,Games,iOS,1120
3/22/14,Revenue,Crappy Birds,Games,Android,1120
4/9/14,Revenue,Crappy Birds,Games,Android,1120
4/20/14,Revenue,Crappy Birds,Games,Android,1120
4/24/14,Revenue,Crappy Birds,Games,iOS,1120
4/27/14,Revenue,Crappy Birds,Games,iOS,1120
4/27/14,Revenue,Crappy Birds,Games,Android,1120
5/16/14,Revenue,Crappy Birds,Games,Android,1120
4/7/14,Revenue,Crappy Birds,Games,iOS,1130
4/21/14,Revenue,Crappy Birds,Games,Android,1130
3/17/14,Revenue,Crappy Birds,Games,Android,1140
3/20/14,Revenue,Crappy Birds,Games,iOS,1140
5/8/14,Revenue,Crappy Birds,Games,Android,1140
5/22/14,Revenue,Crappy Birds,Games,Android,1140
3/17/14,Revenue,Crappy Birds,Games,iOS,1150
3/22/14,Revenue,Crappy Birds,Games,iOS,1150
3/19/14,Revenue,Crappy Birds,Games,iOS,1160
3/19/14,Revenue,Crappy Birds,Games,Android,1160
4/6/14,Revenue,Crappy Birds,Games,iOS,1160
4/8/14,Revenue,Crappy Birds,Games,Android,1160
4/25/14,Revenue,Crappy Birds,Games,iOS,1160
4/26/14,Revenue,Crappy Birds,Games,iOS,1160
3/7/14,Revenue,Crappy Birds,Games,iOS,1170
3/16/14,Revenue,Crappy Birds,Games,iOS,1170
4/6/14,Revenue,Crappy Birds,Games,Android,1170
4/25/14,Revenue,Crappy Birds,Games,Android,1170
3/4/14,Revenue,Crappy Birds,Games,iOS,1180
3/4/14,Revenue,Crappy Birds,Games,Android,1180
3/5/14,Revenue,Crappy Birds,Games,iOS,1180
3/20/14,Revenue,Crappy Birds,Games,Android,1180
3/21/14,Revenue,Crappy Birds,Games,iOS,1180
4/7/14,Revenue,Crappy Birds,Games,Android,1180
3/6/14,Revenue,Crappy Birds,Games,iOS,1190
3/9/14,Revenue,Crappy Birds,Games,Android,1190
3/6/14,Revenue,Crappy Birds,Games,Android,1200
3/15/14,Revenue,Crappy Birds,Games,iOS,1200
3/14/14,Revenue,Crappy Birds,Games,iOS,1210
4/26/14,Revenue,Crappy Birds,Games,Android,1210
3/8/14,Revenue,Crappy Birds,Games,iOS,1220
3/8/14,Revenue,Crappy Birds,Games,Android,1220
3/14/14,Revenue,Crappy Birds,Games,Android,1220
3/16/14,Revenue,Crappy Birds,Games,Android,1220
3/3/14,Revenue,Crappy Birds,Games,iOS,1230
3/15/14,Revenue,Crappy Birds,Games,Android,1230
3/21/14,Revenue,Crappy Birds,Games,Android,1230
3/5/14,Revenue,Crappy Birds,Games,Android,1240
3/9/14,Revenue,Crappy Birds,Games,iOS,1240
3/12/14,Revenue,Crappy Birds,Games,iOS,1250
3/3/14,Revenue,Crappy Birds,Games,Android,1260
3/10/14,Revenue,Crappy Birds,Games,iOS,1260
3/11/14,Revenue,Crappy Birds,Games,Android,1260
3/13/14,Revenue,Crappy Birds,Games,iOS,1260
3/13/14,Revenue,Crappy Birds,Games,Android,1260
3/2/14,Revenue,Crappy Birds,Games,iOS,1270
3/11/14,Revenue,Crappy Birds,Games,iOS,1270
10/7/13,Revenue,Crappy Birds,Games,Android,1280
10/3/13,Revenue,Crappy Birds,Games,Android,1290
1/27/14,Revenue,Crappy Birds,Games,Android,1290
10/4/13,Revenue,Crappy Birds,Games,Android,1300
3/10/14,Revenue,Crappy Birds,Games,Android,1300
9/5/13,Revenue,Crappy Birds,Games,Android,1310
9/27/13,Revenue,Crappy Birds,Games,Android,1310
9/30/13,Revenue,Crappy Birds,Games,Android,1310
10/4/13,Revenue,Crappy Birds,Games,iOS,1310
1/25/14,Revenue,Crappy Birds,Games,Android,1310
2/10/14,Revenue,Crappy Birds,Games,Android,1310
3/2/14,Revenue,Crappy Birds,Games,Android,1310
3/12/14,Revenue,Crappy Birds,Games,Android,1310
1/28/14,Revenue,Crappy Birds,Games,iOS,1320
1/28/14,Revenue,Crappy Birds,Games,Android,1320
1/29/14,Revenue,Crappy Birds,Games,iOS,1320
2/16/14,Revenue,Crappy Birds,Games,Android,1320
2/28/14,Revenue,Crappy Birds,Games,Android,1320
3/1/14,Revenue,Crappy Birds,Games,iOS,1320
10/3/13,Revenue,Crappy Birds,Games,iOS,1330
10/5/13,Revenue,Crappy Birds,Games,iOS,1330
10/5/13,Revenue,Crappy Birds,Games,Android,1330
10/6/13,Revenue,Crappy Birds,Games,iOS,1330
10/13/13,Revenue,Crappy Birds,Games,Android,1330
1/30/14,Revenue,Crappy Birds,Games,Android,1330
2/10/14,Revenue,Crappy Birds,Games,iOS,1330
2/11/14,Revenue,Crappy Birds,Games,iOS,1330
2/22/14,Revenue,Crappy Birds,Games,Android,1330
9/26/13,Revenue,Crappy Birds,Games,iOS,1340
10/1/13,Revenue,Crappy Birds,Games,Android,1340
10/16/13,Revenue,Crappy Birds,Games,Android,1340
1/26/14,Revenue,Crappy Birds,Games,Android,1340
2/3/14,Revenue,Crappy Birds,Games,Android,1340
2/6/14,Revenue,Crappy Birds,Games,Android,1340
2/8/14,Revenue,Crappy Birds,Games,iOS,1340
2/8/14,Revenue,Crappy Birds,Games,Android,1340
2/12/14,Revenue,Crappy Birds,Games,Android,1340
2/26/14,Revenue,Crappy Birds,Games,Android,1340
2/28/14,Revenue,Crappy Birds,Games,iOS,1340
8/18/13,Revenue,Crappy Birds,Games,Android,1350
9/2/13,Revenue,Crappy Birds,Games,Android,1350
9/26/13,Revenue,Crappy Birds,Games,Android,1350
9/29/13,Revenue,Crappy Birds,Games,Android,1350
9/30/13,Revenue,Crappy Birds,Games,iOS,1350
10/2/13,Revenue,Crappy Birds,Games,iOS,1350
10/7/13,Revenue,Crappy Birds,Games,iOS,1350
10/17/13,Revenue,Crappy Birds,Games,Android,1350
1/29/14,Revenue,Crappy Birds,Games,Android,1350
1/31/14,Revenue,Crappy Birds,Games,iOS,1350
2/1/14,Revenue,Crappy Birds,Games,iOS,1350
2/18/14,Revenue,Crappy Birds,Games,iOS,1350
9/22/13,Revenue,Crappy Birds,Games,Android,1360
9/28/13,Revenue,Crappy Birds,Games,Android,1360
10/20/13,Revenue,Crappy Birds,Games,Android,1360
1/17/14,Revenue,Crappy Birds,Games,Android,1360
1/24/14,Revenue,Crappy Birds,Games,Android,1360
1/26/14,Revenue,Crappy Birds,Games,iOS,1360
1/27/14,Revenue,Crappy Birds,Games,iOS,1360
1/30/14,Revenue,Crappy Birds,Games,iOS,1360
2/7/14,Revenue,Crappy Birds,Games,iOS,1360
2/21/14,Revenue,Crappy Birds,Games,iOS,1360
2/25/14,Revenue,Crappy Birds,Games,iOS,1360
8/13/13,Revenue,Crappy Birds,Games,Android,1370
9/4/13,Revenue,Crappy Birds,Games,iOS,1370
9/25/13,Revenue,Crappy Birds,Games,iOS,1370
9/25/13,Revenue,Crappy Birds,Games,Android,1370
10/1/13,Revenue,Crappy Birds,Games,iOS,1370
10/6/13,Revenue,Crappy Birds,Games,Android,1370
10/16/13,Revenue,Crappy Birds,Games,iOS,1370
10/18/13,Revenue,Crappy Birds,Games,Android,1370
1/18/14,Revenue,Crappy Birds,Games,iOS,1370
1/23/14,Revenue,Crappy Birds,Games,iOS,1370
1/24/14,Revenue,Crappy Birds,Games,iOS,1370
1/31/14,Revenue,Crappy Birds,Games,Android,1370
2/9/14,Revenue,Crappy Birds,Games,iOS,1370
2/12/14,Revenue,Crappy Birds,Games,iOS,1370
8/20/13,Revenue,Crappy Birds,Games,Android,1380
8/23/13,Revenue,Crappy Birds,Games,Android,1380
9/5/13,Revenue,Crappy Birds,Games,iOS,1380
9/21/13,Revenue,Crappy Birds,Games,Android,1380
9/22/13,Revenue,Crappy Birds,Games,iOS,1380
9/27/13,Revenue,Crappy Birds,Games,iOS,1380
10/17/13,Revenue,Crappy Birds,Games,iOS,1380
1/21/14,Revenue,Crappy Birds,Games,iOS,1380
1/25/14,Revenue,Crappy Birds,Games,iOS,1380
2/2/14,Revenue,Crappy Birds,Games,iOS,1380
2/5/14,Revenue,Crappy Birds,Games,iOS,1380
2/22/14,Revenue,Crappy Birds,Games,iOS,1380
2/27/14,Revenue,Crappy Birds,Games,iOS,1380
3/1/14,Revenue,Crappy Birds,Games,Android,1380
9/29/13,Revenue,Crappy Birds,Games,iOS,1390
10/11/13,Revenue,Crappy Birds,Games,Android,1390
10/19/13,Revenue,Crappy Birds,Games,iOS,1390
1/22/14,Revenue,Crappy Birds,Games,iOS,1390
1/23/14,Revenue,Crappy Birds,Games,Android,1390
2/11/14,Revenue,Crappy Birds,Games,Android,1390
2/16/14,Revenue,Crappy Birds,Games,iOS,1390
2/19/14,Revenue,Crappy Birds,Games,iOS,1390
2/20/14,Revenue,Crappy Birds,Games,iOS,1390
2/20/14,Revenue,Crappy Birds,Games,Android,1390
8/16/13,Revenue,Crappy Birds,Games,Android,1400
8/17/13,Revenue,Crappy Birds,Games,Android,1400
8/21/13,Revenue,Crappy Birds,Games,Android,1400
8/24/13,Revenue,Crappy Birds,Games,Android,1400
8/31/13,Revenue,Crappy Birds,Games,Android,1400
10/2/13,Revenue,Crappy Birds,Games,Android,1400
10/8/13,Revenue,Crappy Birds,Games,iOS,1400
10/15/13,Revenue,Crappy Birds,Games,iOS,1400
10/18/13,Revenue,Crappy Birds,Games,iOS,1400
10/20/13,Revenue,Crappy Birds,Games,iOS,1400
2/1/14,Revenue,Crappy Birds,Games,Android,1400
2/7/14,Revenue,Crappy Birds,Games,Android,1400
2/17/14,Revenue,Crappy Birds,Games,iOS,1400
2/23/14,Revenue,Crappy Birds,Games,iOS,1400
2/26/14,Revenue,Crappy Birds,Games,iOS,1400
